,YOB,Income,Lon,Lat,Apl_Year,gender,Accepted
0,1976.610493412932,5795,-100,24,2016,0,False
1,1973.913487360244,5270,-82,24,2017,1,True
2,1960.3180300445458,1563,-89,43,2017,0,True
3,1974.1922448247442,5498,-100,43,2016,1,False
4,1969.840416016721,7036,-82,30,2017,0,False
5,1974.5040473498634,8650,-96,20,2016,0,False
6,1991.292218909421,7181,-98,24,2016,0,False
7,1976.0632063601504,5014,-98,42,2017,0,False
8,1965.5162276546457,4966,-82,31,2018,1,True
9,1968.289344850905,9599,-89,20,2018,0,False
10,1977.2474266759239,6783,-84,22,2018,1,True
11,1959.6890323415191,1130,-96,22,2016,0,True
12,1973.1436093062796,1166,-85,35,2017,0,True
13,1982.939006055002,8473,-98,23,2016,0,False
14,1972.826893612487,7131,-100,23,2017,0,False
15,1981.220810876908,7448,-91,27,2016,1,False
16,1975.1153987194812,3259,-92,24,2018,1,True
17,1983.8600705584954,7651,-81,23,2018,1,False
18,1960.7706910912145,9187,-84,23,2018,0,False
19,1970.6932077197591,9555,-84,42,2017,1,False
20,1971.835590766746,2271,-84,43,2018,0,True
21,1981.020341114293,7645,-82,30,2016,0,False
22,2003.7711017545007,2903,-81,30,2018,0,True
23,1961.897341626781,7947,-92,43,2018,1,False
24,1983.9819196118501,8509,-91,27,2017,1,False
25,1998.522264649382,9043,-100,35,2017,1,False
26,1965.479289647762,3689,-85,31,2017,1,True
27,1998.2444213300398,2171,-96,24,2017,1,True
28,1965.265352584754,7602,-85,42,2016,1,False
29,1983.182053704569,2415,-82,24,2016,1,True
30,1981.0695280150105,1194,-96,23,2018,0,True
31,1956.5889790300175,2543,-89,20,2017,0,True
32,1971.581996399158,5300,-82,22,2018,0,False
33,1979.5315088494406,6012,-84,22,2018,0,False
34,1964.6437075350293,1087,-100,23,2018,0,True
35,1982.6520378949617,6027,-85,20,2017,0,False
36,1993.3277925988018,1481,-91,30,2018,1,True
37,1978.340107627614,2337,-84,23,2016,1,True
38,1995.603662167452,2630,-89,24,2017,1,True
39,1980.6318970207285,1247,-82,42,2017,1,True
40,1980.0890478131328,5240,-85,43,2018,1,True
41,1992.5410812252874,9414,-82,35,2017,0,False
42,1959.1819177125092,2590,-84,24,2016,1,True
43,1973.5593410099834,7842,-100,20,2018,1,False
44,1974.284354191582,9720,-98,27,2017,1,False
45,1981.952948117029,2752,-98,43,2016,0,True
46,1992.783748577145,3738,-89,42,2018,1,True
47,1982.080750135494,5644,-82,23,2018,0,False
48,1975.6667614522178,3721,-100,20,2018,1,True
49,1978.6183906482834,7083,-84,30,2017,1,False
50,1960.9252889814463,7962,-92,24,2017,0,False
51,1982.0171532017903,7125,-89,23,2017,0,False
52,1980.2505703116974,9054,-91,24,2018,1,False
53,1982.3574899645964,4340,-92,24,2018,1,False
54,1974.408752869124,5032,-82,35,2016,0,True
55,1986.8132892305948,2627,-91,24,2018,0,True
56,1976.6858112534574,2576,-100,30,2016,1,True
57,1958.7015767245439,3996,-98,31,2018,0,True
58,1979.8671421195127,2141,-96,43,2017,1,True
59,2000.9420643340054,1402,-96,27,2016,1,True
60,1959.3934009476632,2249,-100,24,2018,0,True
61,1973.3557130637546,3509,-89,20,2017,0,True
62,1975.0154618069064,5190,-84,27,2018,0,True
63,1966.9198029723275,6013,-91,20,2018,0,False
64,1972.5149180033661,2359,-91,30,2016,0,True
65,1980.9346708691833,7044,-96,30,2018,0,False
66,1982.0143754384972,1901,-91,20,2017,0,True
67,1974.1210157868225,9435,-91,43,2018,1,False
